,Unnamed: 0,day,time,labels,text,tweet,hashtags
2204,2257,08-05-2020,22:01,-1,"Two more passengers of the bus from Ajmer Sharif to Cachar have tested positive for coronavirus infection.

#Assam #COVID19 #Covid_19
 https://www.guwahatiplus.com/daily-news/covid-19-with-2-more-cases-in-cachar-total-active-cases-rise-to-23-in-assamÃÂ Ã¢ÂÂ¦",two   passeng   bu   ajmer   sharif   cachar   test   posit   coronaviru   infect   assam   covid   covid   http   ww   guwahatiplu      daili   news   covid   case   cachar   total   activ   case   rise   assam  ,"['#assam', '#covid19', '#covid_19']"
2498,2559,09-05-2020,22:57,1,"AlertsÃ¢ÂÂ¢Ã¢ÂÂ¢First case for #Covid_19 in Upper Assam in #Jorhat. 
~~They travelled all the way from Mumbai  to #Assam in an ambulance and the driver along with the Two Patients were tested and found to be positive. The driver went back to Mumbai whereas the two patient are in #JMCH",alert   first   case   covid   upper   assam   jorhat   travel   way   mumbai   assam   ambul   driver   along   two   patient   test   found   posit   driver   went   back   mumbai   wherea   two   patient   jmch  ,"['#covid_19', '#jorhat', '#assam', '#jmch']"
2507,2568,09-05-2020,22:55,1,"3 people including an Ambulance Driver from Mumbai who drove the 2, test #COVID19 positive in Jorhat. Driver sent back to Mumbai.Two are at JMCH since their arrival in Jorhat.Total patients in Assam 62 , Active cases 27 and Discharged 34 : Health Official

#coronavirus #Assam",peopl   includ   ambul   driver   mumbai   drove   test   covid   posit   jorhat   driver   sent   back   mumbai   two   jmch   sinc   arriv   jorhat   total   patient   assam   activ   case   discharg   health   offici   coronaviru   assam  ,"['#covid19', '#coronavirus', '#assam']"
2508,2569,09-05-2020,22:55,1,"3 people, including an Ambulance Driver from Mumbai who drove the 2, test #COVID19 positive in Jorhat.

Driver sent back to Mumbai. 2 are at JMCH since their arrival in Jorhat.

#Assam #Guwahati #Covid_19",peopl   includ   ambul   driver   mumbai   drove   test   covid   posit   jorhat   driver   sent   back   mumbai   jmch   sinc   arriv   jorhat   assam   guwahati   covid  ,"['#covid19', '#assam', '#guwahati', '#covid_19']"
2598,2662,09-05-2020,22:35,0,"Now the real battle with Covid-19 begins in Assam.
#Covid_19
#Assam",real   battl   covid   begin   assam   covid   assam  ,"['#covid_19', '#assam']"
2645,2712,09-05-2020,22:25,1,"3 people, incl an Ambulance Driver from Mumbai who drove the 2, test #Covid_19 + in Jorhat. Driver sent back to Mumbai. 2 are at JMCH since their arrival in Jorhat.
Now 27 active cases in Assam.
#AssamCovidCount",peopl   incl   ambul   driver   mumbai   drove   test   covid   jorhat   driver   sent   back   mumbai   jmch   sinc   arriv   jorhat   activ   case   assam   assamcovidcount  ,"['#covid_19', '#assamcovidcount']"
2663,2730,09-05-2020,22:21,-1,"A PG student at Gauhati Medical College has tested #Covid_19 positive last night. 

#coronavirus #AssamCovidCount",pg   student   gauhati   medic   colleg   test   covid   posit   last   night   coronaviru   assamcovidcount  ,"['#covid_19', '#coronavirus', '#assamcovidcount']"
3461,3550,11-05-2020,22:57,0,"Here is how our news was deemed to be Fake...

Details Inside! 
#Assam #Guwahati #RedZone #Zone #COVID19 #lockdown
 https://www.guwahatiplus.com/daily-news/fact-check-guwahati-is-not-a-red-zone-yetÃÂ Ã¢ÂÂ¦",news   deem   fake   detail   insid   assam   guwahati   redzon   zone   covid   lockdown   http   ww   guwahatiplu      daili   news   fact   check   guwahati   red   zone   yet  ,"['#assam', '#guwahati', '#redzone', '#zone', '#covid19', '#lockdown']"
4324,4456,13-05-2020,23:36,1,"#Top Headlines that needs your attention.
.
.
*Headline 1: Receive 
.
.
#Guwahati #tnec #Assam #NorthEast #India #China #Corona #Virus #Trending #Lockdown #USA #Spain #Italy #BJP #Modi #Government #Delhi #MumbaiÃ¢ÂÂ¦  https://www.instagram.com/p/CAIzFbcnW97/?igshid=a2p1o00ju91aÃÂ Ã¢ÂÂ¦",top   headlin   need   attent   headlin   receiv   guwahati   tnec   assam   northeast   india   china   corona   viru   trend   lockdown   usa   spain   itali   bjp   modi   govern   delhi   mumbai   http   ww   instagram      p   caizfbcnw   igshid   apojua  ,"['#top', '#guwahati', '#tnec', '#assam', '#northeast', '#india', '#china', '#corona', '#virus', '#trending', '#lockdown', '#usa', '#spain', '#italy', '#bjp', '#modi', '#government', '#delhi', '#mumbai']"
4358,4490,13-05-2020,23:28,1,"Passengers to #Guwahati on the Down Delhi-Dibrugarh train disembark at Guwahati Railway Station. 

Photo Credit: @DCKamrupMetro
#Assam #Guwahati @himantabiswa @RailMinIndia @PiyushGoyal #COVID19 #lockdown  pic.twitter.com/MzbGXVInHp",passeng   guwahati   delhi   dibrugarh   train   disembark   guwahati   railway   station   photo   credit   assam   guwahati   covid   lockdown      twitter      mzbgxvinhp  ,"['#guwahati', '#assam', '#guwahati', '#covid19', '#lockdown']"
5315,5486,15-05-2020,23:54,1,"03 persons tested #COVID19 positive in Kamrup Metro
#Guwahati #Assam
01 person is from Sarusajai Quarantine camp
01 indoor patient of GMCH
01 has migrated to West Bengal

Total cases 89  
Recovered 41
Active cases 44
Deaths 02
Migrated 02 

May 15 / 11:00 PM

ÃÂ©HBS",person   test   covid   posit   kamrup   metro   guwahati   assam   person   sarusajai   quarantin   camp   indoor   patient   gmch   migrat   west   bengal   total   case   recov   activ   case   death   migrat   may   pm   hb  ,"['#covid19', '#guwahati', '#assam']"
5948,6153,16-05-2020,23:08,0,"@themozammel lockdown routine Ã°ÂÂÂ
#parkour #freerunning #AssamParkour #AsPK #Assam #NorthEastIndianParkour #NorthEastIndia #indianparkour #parkourindia #india #goalpara #jump #flips #tricks #train #trainhard #igersÃ¢ÂÂ¦  https://www.instagram.com/p/CAQeOS9",lockdown   routin   parkour   freerun   assamparkour   aspk   assam   northeastindianparkour   northeastindia   indianparkour   parkourindia   india   goalpara   jump   flip   trick   train   trainhard   iger   http   ww   instagram      p   caqeospt   igshid   megfpket  ,"['#parkour', '#freerunning', '#assamparkour', '#aspk', '#assam', '#northeastindianparkour', '#northeastindia', '#indianparkour', '#parkourindia', '#india', '#goalpara', '#jump', '#flips', '#tricks', '#train', '#trainhard', '#igers']"
6077,6286,16-05-2020,22:37,-1,"2nd Bye Lane of S K Baruah Road, Rukminigaon area of #Guwahati been made #containmentzone, one corona positive girl from Tripura stayed in Rent in that area #COVID19 #AssamFightsCorona pic.twitter.com/eALpPS9K6O",nd   bye   lane   k   baruah   road   rukminigaon   area   guwahati   made   containmentzon   one   corona   posit   girl   tripura   stay   rent   area   covid   assamfightscorona      twitter      ealppsko  ,"['#guwahati', '#containmentzone', '#covid19', '#assamfightscorona']"
366,378,04-05-2020,22:53,1,Is he serious? Does he knows the number of cases reported after 40 day lockdown?? Ask them to 1st come out clean on #WuhanVirus. We all must force  #ChinaMustExplain,seriou   know   number   case   report   day   lockdown   ask   st   e   clean   wuhanviru   must   forc   chinamustexplain  ,"['#wuhanvirus', '#chinamustexplain']"
2115,2164,08-05-2020,22:24,1,"@antonioguterres @WHO @DrTedros @realDonaldTrump @WhiteHouse @SecPompeo
Finely WHO spokesperson accepted that The #WuhanCoronaVirus  is start in Wuhan, China. 
China is responsible for Corona Virus.. so named Wuhan virus.Ã°ÂÂÂ
Welcome your acceptance.. tha",fine   spokesperson   accept   wuhancoronaviru   start   wuhan   china   china   respons   corona   viru   name   wuhan   viru   wel   accept   india  ,['#wuhancoronavirus']
4411,4547,13-05-2020,23:11,0,Ten-year old Rudransh  is immensely fascinated by BATS... His short film portrays this mysterious creature. The wet markets of #Wuhan have left deep impressions on young minds as they continue to witness mayhem due to #coronavirus!  https://youtu.be/wwxOkf-KVEIÃÂ ,ten   year   old   rudransh   immens   fascin   bat   short   film   portray   mysteri   creatur   wet   market   wuhan   left   deep   impress   young   mind   continu   wit   mayhem   due   coronaviru   http   youtu   wwxokf   kvei  ,"['#wuhan', '#coronavirus']"
