,Unnamed: 0,id,conversation_id,created_at,date,timezone,place,tweet,hashtags,cashtags,user_id,user_id_str,username,name,day,hour,link,retweet,nlikes,nreplies,nretweets,quote_url,search,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest,tokens,predictions
10,10,1242872862249078784,1242872862249078784,1585158956000,2020-03-25 23:25:56,530,,mohalla clinic doctor from mohanpuri maujpur area gopal jha found request all those who visited there between 12th march 18th march follow home quarantine for days pic twitter com xouum13ekv,['#lockdown21'],[],110120417,110120417,onlyshafaq,Shafaq Khan,3,23,https://twitter.com/onlyshafaq/status/1242872862249078784,False,2,0,0,,(corona OR coronavirus OR covid OR pandemic OR lockdown OR quarantine OR covid-19 OR work from home OR ppe),,"28.5934,77.2223,2000km",,,,,"[{'user_id': '110120417', 'username': 'onlyshafaq'}]",,,,,"['mohalla', 'clinic', 'doctor', 'mohanpuri', 'maujpur', 'area', 'gopal', 'jha', 'found', 'request', 'visited', '12th', 'march', '18th', 'march', 'follow', 'home', 'quarantine', 'days', 'pic', 'twitter', 'com', 'xouum13ekv']",1
11,11,1242871391797391362,1242871391797391362,1585158605000,2020-03-25 23:20:05,530,,you revoke article 370 become silent you shutdown internet services due security purposes silent now when whole world under global emergency everyone work from then why you still not restored services the aspirants ,"['#restore4ginjammu', '#home', '#neet']",[],1242337196939431936,1242337196939431936,SajidAh99385891,Sajid Ahmed sohil,3,23,https://twitter.com/SajidAh99385891/status/1242871391797391362,False,0,0,0,,(corona OR coronavirus OR covid OR pandemic OR lockdown OR quarantine OR covid-19 OR work from home OR ppe),,"28.5934,77.2223,2000km",,,,,"[{'user_id': '1242337196939431936', 'username': 'SajidAh99385891'}]",,,,,"['revoke', 'article', '370', 'become', 'silent', 'shutdown', 'internet', 'services', 'due', 'security', 'purposes', 'silent', 'whole', 'world', 'global', 'emergency', 'everyone', 'work', 'still', 'restored', 'services', 'aspirants']",0
12,12,1242871382507053060,1242871382507053060,1585158603000,2020-03-25 23:20:03,530,,suffering with very bad internet connection very bad service from jio please make yourself worthy that people can trust you had recharge with work from home plan but cannot use your network what good ,"['#jiocommunication', '#jio', '#jiotogether', '#jiofiber']",[],1082062694,1082062694,jhamitesh46,Mitesh jha,3,23,https://twitter.com/jhamitesh46/status/1242871382507053060,False,1,0,1,,(corona OR coronavirus OR covid OR pandemic OR lockdown OR quarantine OR covid-19 OR work from home OR ppe),,"28.5934,77.2223,2000km",,,,,"[{'user_id': '1082062694', 'username': 'jhamitesh46'}]",,,,,"['suffering', 'bad', 'internet', 'connection', 'bad', 'service', 'jio', 'please', 'make', 'worthy', 'people', 'trust', 'recharge', 'work', 'home', 'plan', 'cannot', 'use', 'network', 'good']",0
13,13,1242871169297952768,1242871169297952768,1585158552000,2020-03-25 23:19:12,530,,first time doesn want leave from office first time doesn want stay home but there option have lockdown ourself have show our mental toughness pass this crucial phase ,"['#stayhomestaysafe', '#21daylockdown', '#fightagainstcoronavirus']",[],2498160332,2498160332,agrawalamitesh1,Amitesh Agrawal,3,23,https://twitter.com/agrawalamitesh1/status/1242871169297952768,False,0,0,0,,(corona OR coronavirus OR covid OR pandemic OR lockdown OR quarantine OR covid-19 OR work from home OR ppe),,"28.5934,77.2223,2000km",,,,,"[{'user_id': '2498160332', 'username': 'agrawalamitesh1'}]",,,,,"['first', 'time', 'want', 'leave', 'office', 'first', 'time', 'want', 'stay', 'home', 'option', 'lockdown', 'ourself', 'show', 'mental', 'toughness', 'pass', 'crucial', 'phase']",0
14,14,1242870926229692422,1242038873099603968,1585158494000,2020-03-25 23:18:14,530,,office jha bhi hai vha tweet kero office open nhi skta work from home only,[],[],36898231,36898231,varun_sh20,varun sharma,3,23,https://twitter.com/varun_sh20/status/1242870926229692422,False,0,0,0,,(corona OR coronavirus OR covid OR pandemic OR lockdown OR quarantine OR covid-19 OR work from home OR ppe),,"28.5934,77.2223,2000km",,,,,"[{'user_id': '36898231', 'username': 'varun_sh20'}, {'user_id': '1242025508843356161', 'username': 'neha57234067'}]",,,,,"['office', 'jha', 'bhi', 'hai', 'vha', 'tweet', 'kero', 'office', 'open', 'nhi', 'skta', 'work', 'home']",1
15,15,1242870067043303424,1242758218192793600,1585158290000,2020-03-25 23:14:50,530,,wow this all video suggest that corona has asked permission from enter india for your info export has been stopped jan itself half knowledge dangerous how many people you fed first day feed much you can daily who need for next 3wk strt frm home,[],[],977776529366171648,977776529366171648,PrashantKawhal1,Prashant K,3,23,https://twitter.com/PrashantKawhal1/status/1242870067043303424,False,0,0,0,,(corona OR coronavirus OR covid OR pandemic OR lockdown OR quarantine OR covid-19 OR work from home OR ppe),,"28.5934,77.2223,2000km",,,,,"[{'user_id': '977776529366171648', 'username': 'PrashantKawhal1'}, {'user_id': '1154766080918769664', 'username': 'Elizatweetz'}, {'user_id': '3171712086', 'username': 'RahulGandhi'}]",,,,,"['wow', 'video', 'suggest', 'corona', 'asked', 'permission', 'enter', 'india', 'info', 'export', 'stopped', 'jan', 'half', 'knowledge', 'dangerous', 'many', 'people', 'fed', 'first', 'day', 'feed', 'much', 'daily', 'need', 'next', '3wk', 'strt', 'frm', 'home']",1
16,16,1242868201760923648,1242868201760923648,1585157845000,2020-03-25 23:07:25,530,,jazz legend manu dibango has died paris aged after catching coronavirus was best known for his 1972 song soul makossa and often fused jazz and funk music with traditional sounds from his home country … igshid 1fusp1s3k3uz5 …,[],[],37509974,37509974,OsloCouncilman,Elvis Chi Nwosu,3,23,https://twitter.com/OsloCouncilman/status/1242868201760923648,False,0,0,0,,(corona OR coronavirus OR covid OR pandemic OR lockdown OR quarantine OR covid-19 OR work from home OR ppe),,"28.5934,77.2223,2000km",,,,,"[{'user_id': '37509974', 'username': 'OsloCouncilman'}]",,,,,"['jazz', 'legend', 'manu', 'dibango', 'died', 'paris', 'aged', 'catching', 'coronavirus', 'best', 'known', '1972', 'song', 'soul', 'makossa', 'often', 'fused', 'jazz', 'funk', 'music', 'traditional', 'sounds', 'home', 'country', '…', 'igshid', '1fusp1s3k3uz5', '…']",0
17,17,1242867199976411138,1242747125605101570,1585157606000,2020-03-25 23:03:26,530,,"ghordi highly populated area and many people coming back home from outside humbly request jitender singh kindly make quarantine centre ghordi and kindly depute incharge officers along with please consider sir wishav dev singh
president ghordi block dev for",[],[],1242703803402481664,1242703803402481664,BlockGhordi,Ghordi Block Development Forum,3,23,https://twitter.com/BlockGhordi/status/1242867199976411138,False,0,0,0,,(corona OR coronavirus OR covid OR pandemic OR lockdown OR quarantine OR covid-19 OR work from home OR ppe),,"28.5934,77.2223,2000km",,,,,"[{'user_id': '1242703803402481664', 'username': 'BlockGhordi'}, {'user_id': '146360682', 'username': 'DrJitendraSingh'}]",,,,,"['ghordi', 'highly', 'populated', 'area', 'many', 'people', 'coming', 'back', 'home', 'outside', 'humbly', 'request', 'jitender', 'singh', 'kindly', 'make', 'quarantine', 'centre', 'ghordi', 'kindly', 'depute', 'incharge', 'officers', 'along', 'please', 'consider', 'sir', 'wishav', 'dev', 'singh', 'president', 'ghordi', 'block', 'dev']",1
18,18,1242866969285726208,1242866969285726208,1585157551000,2020-03-25 23:02:31,530,,stay indoor stay safe just the way this spidey safe from other environmental challenges its home lets all stay indoor safe healthy vanish this pandemic disease out shot … igshid 1lejmlzf47rm4 …,[],[],103332942,103332942,rampapz,Ramesh Kumar R,3,23,https://twitter.com/rampapz/status/1242866969285726208,False,0,0,0,,(corona OR coronavirus OR covid OR pandemic OR lockdown OR quarantine OR covid-19 OR work from home OR ppe),,"28.5934,77.2223,2000km",,,,,"[{'user_id': '103332942', 'username': 'rampapz'}]",,,,,"['stay', 'indoor', 'stay', 'safe', 'way', 'spidey', 'safe', 'environmental', 'challenges', 'home', 'lets', 'stay', 'indoor', 'safe', 'healthy', 'vanish', 'pandemic', 'disease', 'shot', '…', 'igshid', '1lejmlzf47rm4', '…']",0
19,19,1242866560131141638,1242866560131141638,1585157453000,2020-03-25 23:00:53,530,,finally carelessness has gone make wiseness high keep yourselves quarantine your loved ones safe this situation and dangerous time stay home keep washing your hands stay least metres away from anyone you meet  sending you hope for best pic twitter com lhhudsvdqo,[],[],3185456880,3185456880,srijeeban,Jeeban Das,3,23,https://twitter.com/srijeeban/status/1242866560131141638,False,6,0,2,,(corona OR coronavirus OR covid OR pandemic OR lockdown OR quarantine OR covid-19 OR work from home OR ppe),,"28.5934,77.2223,2000km",,,,,"[{'user_id': '3185456880', 'username': 'srijeeban'}]",,,,,"['finally', 'carelessness', 'gone', 'make', 'wiseness', 'high', 'keep', 'quarantine', 'loved', 'ones', 'safe', 'situation', 'dangerous', 'time', 'stay', 'home', 'keep', 'washing', 'hands', 'stay', 'least', 'metres', 'away', 'anyone', 'meet', 'sending', 'hope', 'best', 'pic', 'twitter', 'com', 'lhhudsvdqo']",0
20,20,1242866014078914563,1242866014078914563,1585157323000,2020-03-25 22:58:43,530,,please stay home stay safe keep protective from corona virus wash your hand cover your mouth nose with mask cover your hands with golves pic twitter com tb8edjz2hr,[],[],849505929284419588,849505929284419588,poojakashyap341,pooja kashyap,3,22,https://twitter.com/poojakashyap341/status/1242866014078914563,False,1,0,0,,(corona OR coronavirus OR covid OR pandemic OR lockdown OR quarantine OR covid-19 OR work from home OR ppe),,"28.5934,77.2223,2000km",,,,,"[{'user_id': '849505929284419588', 'username': 'poojakashyap341'}]",,,,,"['please', 'stay', 'home', 'stay', 'safe', 'keep', 'protective', 'corona', 'virus', 'wash', 'hand', 'cover', 'mouth', 'nose', 'mask', 'cover', 'hands', 'golves', 'pic', 'twitter', 'com', 'tb8edjz2hr']",1
21,21,1242864026947858432,1242864026947858432,1585156849000,2020-03-25 22:50:49,530,,has not announced paid holidays possible employees has work from home …,[],[],122040118,122040118,djain1960,Deepak Jain,3,22,https://twitter.com/djain1960/status/1242864026947858432,False,0,0,0,https://twitter.com/IndianMohit007/status/1242803126702428167,(corona OR coronavirus OR covid OR pandemic OR lockdown OR quarantine OR covid-19 OR work from home OR ppe),,"28.5934,77.2223,2000km",,,,,"[{'user_id': '122040118', 'username': 'djain1960'}, {'user_id': '1461970477', 'username': 'noidapolice'}]",,,,,"['announced', 'paid', 'holidays', 'possible', 'employees', 'work', 'home', '…']",0
22,22,1242863485932822528,1242863485932822528,1585156720000,2020-03-25 22:48:40,530,"Sector 46, Noida",everytime think would work hathway always disappointed everyday internet being disconnected how person will work from home with this kind broadband pic twitter com skmbrah3pf – sector noida,[],[],4305013757,4305013757,SandeepK_90,Sandeep Kumar,3,22,https://twitter.com/SandeepK_90/status/1242863485932822528,False,0,0,0,,(corona OR coronavirus OR covid OR pandemic OR lockdown OR quarantine OR covid-19 OR work from home OR ppe),,"28.5934,77.2223,2000km",,,,,"[{'user_id': '4305013757', 'username': 'SandeepK_90'}, {'user_id': '2215638181', 'username': 'HathwayBrdband'}]",,,,,"['everytime', 'think', 'would', 'work', 'hathway', 'always', 'disappointed', 'everyday', 'internet', 'disconnected', 'person', 'work', 'home', 'kind', 'broadband', 'pic', 'twitter', 'com', 'skmbrah3pf', '–', 'sector', 'noida']",0
23,23,1242863044222386177,1242863044222386177,1585156615000,2020-03-25 22:46:55,530,,wonder why shutting down clearly the worst network ever how can someone work from home with this type speed pic twitter com yrjg240z5g,['#workfromhome'],[],147134256,147134256,manikkesar,Professor sarcastic🇮🇳,3,22,https://twitter.com/manikkesar/status/1242863044222386177,False,0,2,0,,(corona OR coronavirus OR covid OR pandemic OR lockdown OR quarantine OR covid-19 OR work from home OR ppe),,"28.5934,77.2223,2000km",,,,,"[{'user_id': '147134256', 'username': 'manikkesar'}, {'user_id': '51661882', 'username': 'Idea'}]",,,,,"['wonder', 'shutting', 'clearly', 'worst', 'network', 'ever', 'someone', 'work', 'home', 'type', 'speed', 'pic', 'twitter', 'com', 'yrjg240z5g']",1
24,24,1242862679003406338,1242862679003406338,1585156528000,2020-03-25 22:45:28,530,,good call coronavirus dubai private sector employees must work from home dubai private sector employees must work from home 997340 … via ,[],[],19810904,19810904,JoInDubai,Jo,3,22,https://twitter.com/JoInDubai/status/1242862679003406338,False,0,1,0,,(corona OR coronavirus OR covid OR pandemic OR lockdown OR quarantine OR covid-19 OR work from home OR ppe),,"28.5934,77.2223,2000km",,,,,"[{'user_id': '19810904', 'username': 'JoInDubai'}, {'user_id': '20583993', 'username': 'TheNationalUAE'}]",,,,,"['good', 'call', 'coronavirus', 'dubai', 'private', 'sector', 'employees', 'must', 'work', 'home', 'dubai', 'private', 'sector', 'employees', 'must', 'work', 'home', '997340', '…', 'via']",0
25,25,1242859921021919232,1242859921021919232,1585155871000,2020-03-25 22:34:31,530,,work from home pic twitter com 5f26eqf4wr,[],[],2533305830,2533305830,smjunaid99,Syed Junaid,3,22,https://twitter.com/smjunaid99/status/1242859921021919232,False,0,0,0,,(corona OR coronavirus OR covid OR pandemic OR lockdown OR quarantine OR covid-19 OR work from home OR ppe),,"28.5934,77.2223,2000km",,,,,"[{'user_id': '2533305830', 'username': 'smjunaid99'}]",,,,,"['work', 'home', 'pic', 'twitter', 'com', '5f26eqf4wr']",1
26,26,1242858648696573952,1242858648696573952,1585155567000,2020-03-25 22:29:27,530,,four more cases from bandipora tested positive for covid stay home save lives,[],[],1157879648631476224,1157879648631476224,Mustafa93250602,Mustafa_Hayat,3,22,https://twitter.com/Mustafa93250602/status/1242858648696573952,False,0,0,0,,(corona OR coronavirus OR covid OR pandemic OR lockdown OR quarantine OR covid-19 OR work from home OR ppe),,"28.5934,77.2223,2000km",,,,,"[{'user_id': '1157879648631476224', 'username': 'Mustafa93250602'}]",,,,,"['four', 'cases', 'bandipora', 'tested', 'positive', 'covid', 'stay', 'home', 'save', 'lives']",0
27,27,1242858351047802881,1242858351047802881,1585155496000,2020-03-25 22:28:16,530,,office every one are working from home and everyone seem work more than what they work office need find the balance ,['#workfromhomelife'],[],30366427,30366427,crsratnam,Sabha ⚡,3,22,https://twitter.com/crsratnam/status/1242858351047802881,False,2,0,0,,(corona OR coronavirus OR covid OR pandemic OR lockdown OR quarantine OR covid-19 OR work from home OR ppe),,"28.5934,77.2223,2000km",,,,,"[{'user_id': '30366427', 'username': 'crsratnam'}]",,,,,"['office', 'every', 'one', 'working', 'home', 'everyone', 'seem', 'work', 'work', 'office', 'need', 'find', 'balance']",0
28,28,1242858176552173570,1242858176552173570,1585155455000,2020-03-25 22:27:35,530,,anand vallabh vidyanagar awesome and welcoming ❤ this post about show from our gujarat tour nov dec 2019 are home now quarantine and suggesting the same all you stay safe folks pic twitter com 5wdopr6y23,[],[],4919822640,4919822640,amitkhuva,Amit Khuva,3,22,https://twitter.com/amitkhuva/status/1242858176552173570,False,4,0,0,,(corona OR coronavirus OR covid OR pandemic OR lockdown OR quarantine OR covid-19 OR work from home OR ppe),,"28.5934,77.2223,2000km",,,,,"[{'user_id': '4919822640', 'username': 'amitkhuva'}]",,,,,"['anand', 'vallabh', 'vidyanagar', 'awesome', 'welcoming', '❤', 'post', 'show', 'gujarat', 'tour', 'nov', 'dec', '2019', 'home', 'quarantine', 'suggesting', 'stay', 'safe', 'folks', 'pic', 'twitter', 'com', '5wdopr6y23']",1
29,29,1242857968221032448,1242857968221032448,1585155405000,2020-03-25 22:26:45,530,,work from home has range options choose from let all ensure together …,"['#wfh', '#coronahaaregaindiajeetega']",[],932231099060690945,932231099060690945,Akashtv1Soni,@Akashtv1Soni,3,22,https://twitter.com/Akashtv1Soni/status/1242857968221032448,False,1,0,0,https://twitter.com/flameoftruth/status/1242816367750819850,(corona OR coronavirus OR covid OR pandemic OR lockdown OR quarantine OR covid-19 OR work from home OR ppe),,"28.5934,77.2223,2000km",,,,,"[{'user_id': '932231099060690945', 'username': 'Akashtv1Soni'}, {'user_id': '929129743', 'username': 'reliancejio'}]",,,,,"['work', 'home', 'range', 'options', 'choose', 'let', 'ensure', 'together', '…']",0
30,30,1242857937196003330,1242857937196003330,1585155398000,2020-03-25 22:26:38,530,,… 175 that how far away labourer antresh village from delhi walking home because there work wages food there public transport take him home this what the has done india most vulnerable,['#coronalockdown'],[],139779018,139779018,somyalakhani,Somya Lakhani,3,22,https://twitter.com/somyalakhani/status/1242857937196003330,False,16,2,27,,(corona OR coronavirus OR covid OR pandemic OR lockdown OR quarantine OR covid-19 OR work from home OR ppe),,"28.5934,77.2223,2000km",,,,,"[{'user_id': '139779018', 'username': 'somyalakhani'}]",,,,,"['…', '175', 'far', 'away', 'labourer', 'antresh', 'village', 'delhi', 'walking', 'home', 'work', 'wages', 'food', 'public', 'transport', 'take', 'home', 'done', 'india', 'vulnerable']",0
31,31,1242857884167229440,1242857884167229440,1585155385000,2020-03-25 22:26:25,530,,anand vallabh vidyanagar awesome and welcoming ❤ this post about show from our gujarat tour nov dec 2019 are home now quarantine and suggesting the same all you stay safe folks pic twitter com cfpgv5ueax,[],[],1054057103134871552,1054057103134871552,cafecomedyindia,Cafe Comedy,3,22,https://twitter.com/cafecomedyindia/status/1242857884167229440,False,0,0,0,,(corona OR coronavirus OR covid OR pandemic OR lockdown OR quarantine OR covid-19 OR work from home OR ppe),,"28.5934,77.2223,2000km",,,,,"[{'user_id': '1054057103134871552', 'username': 'cafecomedyindia'}]",,,,,"['anand', 'vallabh', 'vidyanagar', 'awesome', 'welcoming', '❤', 'post', 'show', 'gujarat', 'tour', 'nov', 'dec', '2019', 'home', 'quarantine', 'suggesting', 'stay', 'safe', 'folks', 'pic', 'twitter', 'com', 'cfpgv5ueax']",1
32,32,1242856943376420866,1242856943376420866,1585155161000,2020-03-25 22:22:41,530,,while are struggling with corona and work from home activities thoda aap kuch corona internet  sucks here pic twitter com 9xgbaif2bj,[],[],4086572112,4086572112,Danish_6302,Mirza Ali Danish,3,22,https://twitter.com/Danish_6302/status/1242856943376420866,False,0,2,0,,(corona OR coronavirus OR covid OR pandemic OR lockdown OR quarantine OR covid-19 OR work from home OR ppe),,"28.5934,77.2223,2000km",,,,,"[{'user_id': '4086572112', 'username': 'Danish_6302'}, {'user_id': '176355348', 'username': 'airtelindia'}, {'user_id': '103323813', 'username': 'Airtel_Presence'}]",,,,,"['struggling', 'corona', 'work', 'home', 'activities', 'thoda', 'aap', 'kuch', 'corona', 'internet', 'sucks', 'pic', 'twitter', 'com', '9xgbaif2bj']",0
33,33,1242855862483509248,1242855158029012992,1585154903000,2020-03-25 22:18:23,530,,can understand cause the situation not good but right now using other network and not able work from home believe can provide new connection ,[],[],1704494743,1704494743,Darshu321,Darshan bhavsar,3,22,https://twitter.com/Darshu321/status/1242855862483509248,False,0,0,0,,(corona OR coronavirus OR covid OR pandemic OR lockdown OR quarantine OR covid-19 OR work from home OR ppe),,"28.5934,77.2223,2000km",,,,,"[{'user_id': '1704494743', 'username': 'Darshu321'}, {'user_id': '103323813', 'username': 'Airtel_Presence'}, {'user_id': '72997234', 'username': 'Airtel'}]",,,,,"['understand', 'cause', 'situation', 'good', 'right', 'using', 'network', 'able', 'work', 'home', 'believe', 'provide', 'new', 'connection']",0
